A	A 1177
At the _ _ _	At the end of the 11
At the _ _ the	At the end of the 11
At the _ of	At the end of 17
At the _ of _	At the end of the 11
At the _ of the	At the end of the 11
At the _ time	At the same time 26
At the end	At the end 17
At the end _	At the end of 17
At the end _ _	At the end of the 11
At the end _ the	At the end of the 11
At the end of	At the end of 17
At the end of _	At the end of the 11
At the end of the	At the end of the 11
At the same	At the same 26
At the same _	At the same time 26
At the same time	At the same time 26
At the time	At the time 16
At this	At this 25
Atholl	Atholl 14
Attendance	Attendance 13
Attendance Allowance	Attendance Allowance 13
Attendance _	Attendance Allowance 13
August	August 100
Aurora	Aurora 12
Australia	Australia 13
Australian	Australian 12
Authority	Authority 26
Autumn	Autumn 11
Available	Available 65
Available _	Available from 51	Available free 12
Available free	Available free 12
Available from	Available from 51
Aveling	Aveling 12
Award	Award 15
Aye	Aye 13
B	B 32
BBC	BBC 50
BMC	BMC 19
BR	BR 110
BS	BS 16
BT	BT 15
Back	Back 18
Balanchine	Balanchine 13
Ballet	Ballet 31
Barry	Barry 12
Be	Be 39
Beauty	Beauty 27
Because	Because 72
Because _	Because of 17
Because of	Because of 17
Beer	Beer 34
Beer Festival	Beer Festival 11
Beer _	Beer Festival 11
Before	Before 33
Begin	Begin 12
Behind	Behind 14
Being	Being 21
Belfast	Belfast 15
Belgium	Belgium 11
Ben	Ben 14
Berkeley	Berkeley 14
Bernard	Bernard 11
Bernini	Bernini 14
Besides	Besides 20
Best	Best 23
Between	Between 13
Big	Big 21
Bill	Bill 15
Bintley	Bintley 11
Birmingham	Birmingham 77
Black	Black 40
Blue	Blue 13
Board	Board 19
Bob	Bob 40
Book	Book 19
Books	Books 11
Both	Both 72
Box	Box 28
Bramble	Bramble 25
Bravo	Bravo 12
Brent	Brent 13
Brent Walker	Brent Walker 13
Brent _	Brent Walker 13
Brewery	Brewery 24
Brewing	Brewing 13
Brian	Brian 24
Brighton	Brighton 23
Bristol	Bristol 24
Britain	Britain 141
British	British 257
Brown	Brown 23
Bruce	Bruce 11
Buckley	Buckley 25
Building	Building 11
Bunty	Bunty 21
Bureau	Bureau 14
Burton	Burton 20
Business	Business 18
But	But 1108
But I	But I 70
But _	But it 84	But the 78	But I 70	But there 50	But he 37	But this 36	But if 34	But they 29	But she 25	But what 25	But you 25	But in 23	But that 23	But why 19	But we 17	But then 16	But when 16	But a 14	But not 14	But do 13	But no 13	But to 13	But now 12	But as 11
But _ _	But it is 22	But it was 21	But there is 16	But this is 14
But _ is	But it is 22	But there is 16	But this is 14
But _ was	But it was 21
But a	But a 14
But as	But as 11
But do	But do 13
But he	But he 37
But if	But if 34
But in	But in 23
But it	But it 84
But it _	But it is 22	But it was 21
But it is	But it is 22
But it was	But it was 21
But no	But no 13
But not	But not 14
But now	But now 12
But she	But she 25
But that	But that 23
But the	But the 78
But then	But then 16
But there	But there 50
But there _	But there is 16
But there is	But there is 16
But they	But they 29
But this	But this 36
But this _	But this is 14
But this is	But this is 14
But to	But to 13
But we	But we 17
But what	But what 25
But when	But when 16
But why	But why 19
But you	But you 25
By	By 181
By _	By the 61	By now 12	By this 11
By _ _	By the time 17
By _ time	By the time 17
By now	By now 12
By the	By the 61
By the _	By the time 17
By the time	By the time 17
By this	By this 11
Byers	Byers 17
C	C 67
C _	C eacute 17
C _ _	C eacute zanne 16
C _ zanne	C eacute zanne 16
C eacute	C eacute 17
C eacute _	C eacute zanne 16
C eacute zanne	C eacute zanne 16
CAMRA	CAMRA 118
CARE	CARE 11
CID	CID 13
CTP	CTP 17
Ca	Ca 18
Cambridge	Cambridge 21
Cameron	Cameron 223
Cameron _	Cameron and 25	Cameron was 18
Cameron _ Menzies	Cameron and Menzies 17
Cameron _ _	Cameron and Menzies 17
Cameron and	Cameron and 25
Cameron and Menzies	Cameron and Menzies 17
Cameron and _	Cameron and Menzies 17
Cameron was	Cameron was 18
Campaign	Campaign 39
Can	Can 60
Can I	Can I 16
Can _	Can you 18	Can I 16
Can you	Can you 18
Canada	Canada 28
Care	Care 21
Carers	Carers 12
Caribbean	Caribbean 13
Carla	Carla 19
Carlisle	Carlisle 23
Caroline	Caroline 30
Castle	Castle 19
Caterer	Caterer 14
Catherine	Catherine 16
Catholic	Catholic 13
Central	Central 40
Centre	Centre 45
Certainly	Certainly 22
Chairman	Chairman 14
Channel	Channel 28
Chapter	Chapter 12
Charge	Charge 11
Charles	Charles 62
Chatterton	Chatterton 12
Check	Check 12
Cheshire	Cheshire 13
Children	Children 19
China	China 12
Chinese	Chinese 33
Choose	Choose 20
Choreographers	Choreographers 25
Chris	Chris 26
Christ	Christ 28
Christian	Christian 31
Christie	Christie 12
Christmas	Christmas 34
Church	Church 65
Church _	Church of 25
Church _ Ireland	Church of Ireland 16
Church _ _	Church of Ireland 16
Church of	Church of 25
Church of Ireland	Church of Ireland 16
Church of _	Church of Ireland 16
Cinderella	Cinderella 15
Circular	Circular 16
Citizens	Citizens 13
Citizens Advice	Citizens Advice 12
Citizens _	Citizens Advice 12
City	City 51
City _	City of 11
City of	City of 11
Claire	Claire 45
Clancy	Clancy 16
Clark	Clark 11
Class	Class 148
Class No	Class No 28
Class _	Class No 28	Class units 12	Class and 11
Class and	Class and 11
Class units	Class units 12
Classes	Classes 14
Clearly	Clearly 11
Club	Club 32
Co	Co 15
Coast	Coast 43
Coast _	Coast main 15
Coast _ _	Coast main line 15
Coast _ line	Coast main line 15
Coast main	Coast main 15
Coast main _	Coast main line 15
Coast main line	Coast main line 15
Cohen	Cohen 46
Colberg	Colberg 13
Colin	Colin 12
College	College 31
Colm	Colm 15
Come	Come 52
Come _	Come on 19
Come on	Come on 19
Commission	Commission 25
Committee	Committee 28
Community	Community 40
Company	Company 32
Compare	Compare 12
Concern	Concern 88
Concern _	Concern believes 15	Concern group 14	Concern groups 13
Concern _ _	Concern believes that 15
Concern _ that	Concern believes that 15
Concern believes	Concern believes 15
Concern believes _	Concern believes that 15
Concern believes that	Concern believes that 15
Concern group	Concern group 14
Concern groups	Concern groups 13
Conference	Conference 23
Connors	Connors 18
Conroy	Conroy 24
Consider	Consider 12
Constable	Constable 30
Cook	Cook 20
Could	Could 46
Could _	Could you 19
Could you	Could you 19
Council	Council 76
Country	Country 35
County	County 21
Court	Court 38
Covenant	Covenant 14
Cross	Cross 19
Cup	Cup 34
Czechoslovakia	Czechoslovakia 15
D	D 18
DMU	DMU 11
DO	DO 17
DSS	DSS 19
Daddy	Daddy 15
Daily	Daily 11
Darling	Darling 14
David	David 120
Davis	Davis 13
Day	Day 22
De	De 17
Dear	Dear 21
Dear _	Dear he 12
Dear _ _	Dear he wrote 12
Dear _ wrote	Dear he wrote 12
Dear he	Dear he 12
Dear he _	Dear he wrote 12
Dear he wrote	Dear he wrote 12
Death	Death 14
December	December 21
Deed	Deed 19
Deed _	Deed of 13
Deed _ Covenant	Deed of Covenant 13
Deed _ _	Deed of Covenant 13
Deed of	Deed of 13
Deed of Covenant	Deed of Covenant 13
Deed of _	Deed of Covenant 13
Department	Department 82
Department _	Department of 27
Department of	Department of 27
Derek	Derek 22
Despite	Despite 45
Despite _	Despite the 23
Despite the	Despite the 23
Details	Details 12
Detective	Detective 14
Development	Development 24
Diana	Diana 12
Did	Did 89
Did _	Did you 40	Did she 11
Did she	Did she 11
Did you	Did you 40
Different	Different 11
Dionne	Dionne 63
Directed	Directed 13
Directed _	Directed by 12
Directed by	Directed by 12
Director	Director 50
Director _	Director of 14
Director of	Director of 14
Directors	Directors 14
Disabled	Disabled 18
Disease	Disease 12
Distribution	Distribution 15
District	District 14
Division	Division 14
Do	Do 288
Do I	Do I 13
Do _	Do you 84	Do not 56	Do I 13	Do be 12	Do worry 12
Do _ _	Do you think 23	Do you know 12
Do _ know	Do you know 12
Do _ think	Do you think 23
Do be	Do be 12
Do not	Do not 56
Do worry	Do worry 12
Do you	Do you 84
Do you _	Do you think 23	Do you know 12
Do you know	Do you know 12
Do you think	Do you think 23
Does	Does 36
Don	Don 13
Donald	Donald 112
Doran	Doran 17
Dorothy	Dorothy 62
Dorothy I	Dorothy I 14
Dorothy _	Dorothy I 14
Douglas	Douglas 18
Down	Down 12
Doyle	Doyle 13
Dr	Dr 60
Drama	Drama 13
Dublin	Dublin 29
Dudek	Dudek 18
Duke	Duke 42
Duncan	Duncan 23
During	During 48
During _	During the 27
During the	During the 27
Dutch	Dutch 14
EC	EC 11
EDUCATION	EDUCATION 11
Each	Each 81
Ealing	Ealing 18
Eames	Eames 22
Earth	Earth 12
East	East 113
East Coast	East Coast 18
East Coast _	East Coast main 12
East Coast _ _	East Coast main line 12
East Coast _ line	East Coast main line 12
East Coast main	East Coast main 12
East Coast main _	East Coast main line 12
East Coast main line	East Coast main line 12
East End	East End 20
East _	East End 20	East Coast 18
East _ _	East Coast main 12
East _ _ _	East Coast main line 12
East _ _ line	East Coast main line 12
East _ main	East Coast main 12
East _ main _	East Coast main line 12
East _ main line	East Coast main line 12
Eastern	Eastern 23
Edberg	Edberg 14
Edinburgh	Edinburgh 44
Edith	Edith 16
Education	Education 31
Edward	Edward 14
Either	Either 18
Eleanor	Eleanor 22
Eliot	Eliot 18
End	End 37
Energy	Energy 12
England	England 167
England _	England and 15
England and	England and 15
English	English 105
Enterprise	Enterprise 14
Environmental	Environmental 20
Environmental Health	Environmental Health 20
Environmental Health Officer	Environmental Health Officer 11
Environmental Health _	Environmental Health Officer 11
Environmental _	Environmental Health 20
Environmental _ Officer	Environmental Health Officer 11
Environmental _ _	Environmental Health Officer 11
Equity	Equity 30
Er	Er 16
Erdinger	Erdinger 14
Essex	Essex 13
Ethel	Ethel 41
Europe	Europe 70
European	European 70
Euston	Euston 14
Even	Even 144
Even _	Even the 21	Even if 19	Even in 13
Even if	Even if 19
Even in	Even in 13
Even the	Even the 21
Eventually	Eventually 15
Every	Every 46
Everyone	Everyone 28
Everything	Everything 32
Except	Except 11
Executive	Executive 16
Express	Express 21
F	F 28
F _	F aacute 11
F _ _	F aacute il 11
F _ il	F aacute il 11
F aacute	F aacute 11
F aacute _	F aacute il 11
F aacute il	F aacute il 11
FOR	FOR 52
FROM	FROM 12
Facts	Facts 11
Failure	Failure 14
Failure _	Failure to 13
Failure to	Failure to 13
Fairy	Fairy 12
Family	Family 25
Far	Far 14
Father	Father 37
Feather	Feather 17
February	February 40
Federation	Federation 18
Federation Cup	Federation Cup 16
Federation _	Federation Cup 16
Festival	Festival 78
Few	Few 16
Fille	Fille 18
Fille Mal	Fille Mal 18
Fille Mal Gard	Fille Mal Gard 18
Fille Mal Gard _	Fille Mal Gard eacute 18
Fille Mal Gard _ _	Fille Mal Gard eacute e 17
Fille Mal Gard _ e	Fille Mal Gard eacute e 17
Fille Mal Gard eacute	Fille Mal Gard eacute 18
Fille Mal Gard eacute _	Fille Mal Gard eacute e 17
Fille Mal Gard eacute e	Fille Mal Gard eacute e 17
Fille Mal _	Fille Mal Gard 18
Fille Mal _ _	Fille Mal Gard eacute 18
Fille Mal _ _ _	Fille Mal Gard eacute e 17
Fille Mal _ _ e	Fille Mal Gard eacute e 17
Fille Mal _ eacute	Fille Mal Gard eacute 18
Fille Mal _ eacute _	Fille Mal Gard eacute e 17
Fille Mal _ eacute e	Fille Mal Gard eacute e 17
Fille _	Fille Mal 18
Fille _ Gard	Fille Mal Gard 18
Fille _ Gard _	Fille Mal Gard eacute 18
Fille _ Gard _ _	Fille Mal Gard eacute e 17
Fille _ Gard _ e	Fille Mal Gard eacute e 17
Fille _ Gard eacute	Fille Mal Gard eacute 18
Fille _ Gard eacute _	Fille Mal Gard eacute e 17
Fille _ Gard eacute e	Fille Mal Gard eacute e 17
Fille _ _	Fille Mal Gard 18
Fille _ _ _	Fille Mal Gard eacute 18
Fille _ _ _ _	Fille Mal Gard eacute e 17
Fille _ _ _ e	Fille Mal Gard eacute e 17
Fille _ _ eacute	Fille Mal Gard eacute 18
Fille _ _ eacute _	Fille Mal Gard eacute e 17
Fille _ _ eacute e	Fille Mal Gard eacute e 17
Film	Film 32
Film _	Film and 12
Film and	Film and 12
Films	Films 11
Finally	Finally 44
Fine	Fine 21
Fire	Fire 12
First	First 59
Firstly	Firstly 11
Fodor	Fodor 20
Fokine	Fokine 30
Following	Following 14
Food	Food 32
For	For 446
For _	For example 58	For the 49	For a 35	For more 21	For this 16	For further 13	For some 12
For _ _	For more information 16	For example the 11
For _ information	For more information 16
For _ the	For example the 11
For a	For a 35
For example	For example 58
For example _	For example the 11
For example the	For example the 11
For further	For further 13
For more	For more 21
For more _	For more information 16
For more information	For more information 16
For some	For some 12
For the	For the 49
For this	For this 16
Forbes	Forbes 15
Foreign	Foreign 14
Forest	Forest 12
Fortunately	Fortunately 18
Forum	Forum 24
Foundation	Foundation 19
Four	Four 33
France	France 40
Francis	Francis 94
Frank	Frank 15
Fraser	Fraser 25
Free	Free 17
French	French 31
Friday	Friday 31
From	From 112
From _	From the 27
From the	From the 27
Fry	Fry 12
Fund	Fund 44
Further	Further 56
Further _	Further information 33
Further information	Further information 33
Furthermore	Furthermore 16
GP	GP 35
Gallery	Gallery 20
Game	Game 15
Gard	Gard 18
Gard _	Gard eacute 18
Gard _ _	Gard eacute e 17
Gard _ e	Gard eacute e 17
Gard eacute	Gard eacute 18
Gard eacute _	Gard eacute e 17
Gard eacute e	Gard eacute e 17
Garden	Garden 19
Gardeners	Gardeners 18
Gardeners World	Gardeners World 12
Gardeners _	Gardeners World 12
General	General 22
George	George 57
Georgian	Georgian 25
Geraldine	Geraldine 21
German	German 42
German Measles	German Measles 11
German _	German Measles 11
Germany	Germany 29
Get	Get 25
Ghatak	Ghatak 11
Gift	Gift 31
Gift Aid	Gift Aid 25
Gift _	Gift Aid 25
Gillian	Gillian 24
Giselle	Giselle 25
Give	Give 26
Given	Given 16
Glasgow	Glasgow 37
Glasser	Glasser 12
Go	Go 26
God	God 90
Godfrey	Godfrey 14
Gogh	Gogh 11
Going	Going 12
Goldberg	Goldberg 136
Goldberg _	Goldberg in 22	Goldberg typed 15
Goldberg _ _	Goldberg in the 19
Goldberg _ _ _	Goldberg in the margin 19
Goldberg _ _ margin	Goldberg in the margin 19
Goldberg _ the	Goldberg in the 19
Goldberg _ the _	Goldberg in the margin 19
Goldberg _ the margin	Goldberg in the margin 19
Goldberg in	Goldberg in 22
Goldberg in _	Goldberg in the 19
Goldberg in _ _	Goldberg in the margin 19
Goldberg in _ margin	Goldberg in the margin 19
Goldberg in the	Goldberg in the 19
Goldberg in the _	Goldberg in the margin 19
Goldberg in the margin	Goldberg in the margin 19
Goldberg typed	Goldberg typed 15
Good	Good 72
Gothic	Gothic 20
Government	Government 80
Graham	Graham 16
Grand	Grand 28
Grand Slam	Grand Slam 13
Grand _	Grand Slam 13
Grandtully	Grandtully 17
Grant	Grant 13
Grants	Grants 12
Great	Great 55
Great British	Great British 12
Great _	Great British 12
Greece	Greece 13
Green	Green 25
Group	Group 38
Guardian	Guardian 16
Guide	Guide 11
HEALTH	HEALTH 12
HIV	HIV 74
HMSO	HMSO 11
HOME	HOME 11
HST	HST 16
HSTs	HSTs 12
Had	Had 37
Hall	Hall 20
Hamlet	Hamlet 11
Hampshire	Hampshire 12
Harriet	Harriet 97
Harrow	Harrow 12
Harry	Harry 16
Harsnet	Harsnet 60
Harsnet Goldberg	Harsnet Goldberg 36
Harsnet _	Harsnet Goldberg 36	Harsnet had 12	Harsnet and 11
Harsnet _ Goldberg	Harsnet and Goldberg 11
Harsnet _ _	Harsnet had written 12	Harsnet and Goldberg 11
Harsnet _ written	Harsnet had written 12
Harsnet and	Harsnet and 11
Harsnet and Goldberg	Harsnet and Goldberg 11
Harsnet and _	Harsnet and Goldberg 11
Harsnet had	Harsnet had 12
Harsnet had _	Harsnet had written 12
Harsnet had written	Harsnet had written 12
Harwich	Harwich 35
Has	Has 22
Have	Have 60
Have _	Have you 28
Have you	Have you 28
Having	Having 28
He	He 1298
He _	He was 166	He is 84	He had 55	He has 38	He looked 36	He did 31	He could 27	He said 17	He would 17	He also 15	He turned 15	He will 14	He must 13	He went 13	He felt 12	He put 11	He wanted 11
He _ _	He did not 12	He was a 12
He _ a	He was a 12
He _ not	He did not 12
He also	He also 15
He could	He could 27
He did	He did 31
He did _	He did not 12
He did not	He did not 12
He felt	He felt 12
He had	He had 55
He has	He has 38
He is	He is 84
He looked	He looked 36
He must	He must 13
He put	He put 11
He said	He said 17
He turned	He turned 15
He wanted	He wanted 11
He was	He was 166
He was _	He was a 12
He was a	He was a 12
He went	He went 13
He will	He will 14
He would	He would 17
Head	Head 22
Health	Health 115
Health Authority	Health Authority 13
Health Education	Health Education 13
Health Officer	Health Officer 11
Health Service	Health Service 15
Health _	Health Service 15	Health Authority 13	Health Education 13	Health Officer 11
Hello	Hello 15
Help	Help 13
Henry	Henry 119
Henry Tyler	Henry Tyler 18
Henry _	Henry Tyler 18
Her	Her 127
Here	Here 89
Here _	Here is 25
Here _ _	Here is a 13
Here _ a	Here is a 13
Here is	Here is 25
Here is _	Here is a 13
Here is a	Here is a 13
Hey	Hey 11
High	High 21
Hill	Hill 24
His	His 260
History	History 12
Hitler	Hitler 12
Hjerson	Hjerson 27
Hold	Hold 13
Holy	Holy 12
Home	Home 54
Hops	Hops 14
Horbury	Horbury 12
Hospital	Hospital 16
Hotel	Hotel 40
Hotels	Hotels 15
House	House 88
How	How 298
How _	How to 27	How do 26	How did 20	How about 19	How can 17	How much 16	How does 13	How could 12	How is 11	How many 11
How _ _	How do you 16
How _ you	How do you 16
How about	How about 19
How can	How can 17
How could	How could 12
How did	How did 20
How do	How do 26
How do _	How do you 16
How do you	How do you 16
How does	How does 13
How is	How is 11
How many	How many 11
How much	How much 16
How to	How to 27
Howard	Howard 17
However	However 282
However I	However I 13
However _	However the 40	However it 35	However a 14	However I 13	However if 12	However in 12
However _ _	However it is 21
However _ is	However it is 21
However a	However a 14
However if	However if 12
However in	However in 12
However it	However it 35
However it _	However it is 21
However it is	However it is 21
However the	However the 40
I	I 7494
I _	I was 495	I have 370	I do 304	I had 290	I am 249	I think 211	I could 193	I said 193	I would 185	I did 148	I can 140	I know 129	I want 101	I thought 92	I just 85	I not 80	I will 78	I got 76	I went 67	I mean 63	I told 58	I ca 56	I found 56	I should 54	I wanted 52	I never 51	I must 49	I suppose 49	I love 48	I like 46	I been 45	I going 43	I knew 43	I saw 43	I say 43	I decided 39	I be 38	I see 38	I took 38	I feel 37	I remember 37	I shall 37	I believe 36	I felt 35	I get 34	I hope 33	I came 32	I looked 32	I might 32	I sorry 32	I need 30	I really 30	I heard 27	I still 27	I asked 26	I go 26	I tell 26	I used 26	I made 25	I sat 25	I find 22	I started 22	I always 21	I tried 21	I wish 21	I kept 19	I left 19	I put 19	I a 18	I come 18	I sure 18	I ever 17	I make 17	I only 17	I take 17	I hear 16	I arrived 15	I first 15	I read 15	I bought 14	I doing 14	I smiled 14	I to 14	I done 13	I may 13	I watched 13	I work 13	I write 13	I became 12	I gave 12	I met 12	I realized 12	I seen 12	I stood 12	I try 12	I walked 12	I bet 11	I brought 11	I expect 11	I glad 11	I hellip 11	I needed 11	I wo 11
I _ I	I think I 29	I thought I 12	I know I 11
I _ _	I want to 62	I do know 59	I have to 45	I had to 43	I do think 33	I going to 32	I have been 31	I think I 29	I do want 27	I would have 27	I would like 26	I wanted to 25	I do not 24	I had been 22	I love you 22	I said to 22	I think you 22	I can not 21	I was going 21	I decided to 20	I have a 20	I told him 20	I think it 19	I used to 19	I could have 18	I had a 18	I am not 17	I can see 17	I did not 17	I have seen 17	I was not 17	I have never 16	I was a 16	I would be 16	I like to 15	I need to 15	I tell you 15	I think the 15	I told her 15	I went to 15	I know you 14	I should have 14	I think we 14	I thought it 14	I thought you 14	I was in 14	I would not 14	I could see 13	I know what 13	I tried to 13	I did know 12	I do have 12	I got a 12	I thought I 12	I do see 11	I had no 11	I have always 11	I have no 11	I know I 11	I told you 11
I _ _ _	I would like to 23	I do want to 22	I was going to 20	I do know what 11
I _ _ to	I would like to 23	I do want to 22	I was going to 20
I _ _ what	I do know what 11
I _ a	I have a 20	I had a 18	I was a 16	I got a 12
I _ always	I have always 11
I _ be	I would be 16
I _ been	I have been 31	I had been 22
I _ going	I was going 21
I _ going _	I was going to 20
I _ going to	I was going to 20
I _ have	I would have 27	I could have 18	I should have 14	I do have 12
I _ her	I told her 15
I _ him	I told him 20
I _ in	I was in 14
I _ it	I think it 19	I thought it 14
I _ know	I do know 59	I did know 12
I _ know _	I do know what 11
I _ know what	I do know what 11
I _ like	I would like 26
I _ like _	I would like to 23
I _ like to	I would like to 23
I _ never	I have never 16
I _ no	I had no 11	I have no 11
I _ not	I do not 24	I can not 21	I am not 17	I did not 17	I was not 17	I would not 14
I _ see	I can see 17	I could see 13	I do see 11
I _ seen	I have seen 17
I _ the	I think the 15
I _ think	I do think 33
I _ to	I want to 62	I have to 45	I had to 43	I going to 32	I wanted to 25	I said to 22	I decided to 20	I used to 19	I like to 15	I need to 15	I went to 15	I tried to 13
I _ want	I do want 27
I _ want _	I do want to 22
I _ want to	I do want to 22
I _ we	I think we 14
I _ what	I know what 13
I _ you	I love you 22	I think you 22	I tell you 15	I know you 14	I thought you 14	I told you 11
I a	I a 18
I always	I always 21
I am	I am 249
I am _	I am not 17
I am not	I am not 17
I arrived	I arrived 15
I asked	I asked 26
I be	I be 38
I became	I became 12
I been	I been 45
I believe	I believe 36
I bet	I bet 11
I bought	I bought 14
I brought	I brought 11
I ca	I ca 56
I came	I came 32
I can	I can 140
I can _	I can not 21	I can see 17
I can not	I can not 21
I can see	I can see 17
I come	I come 18
I could	I could 193
I could _	I could have 18	I could see 13
I could have	I could have 18
I could see	I could see 13
I decided	I decided 39
I decided _	I decided to 20
I decided to	I decided to 20
I did	I did 148
I did _	I did not 17	I did know 12
I did know	I did know 12
I did not	I did not 17
I do	I do 304
I do _	I do know 59	I do think 33	I do want 27	I do not 24	I do have 12	I do see 11
I do _ _	I do want to 22	I do know what 11
I do _ to	I do want to 22
